# Program:featureCounts v2.0.3; Command:"/home/reedkm/shared/RIS_Projects/Software/subread-2.0.3-Linux-x86_64/bin/featureCounts" "-Q" "10" "-s" "1" "-T" "12" "-F" "SAF" "-a" "/home/reedkm/shared/RIS_Projects/Reed_Project_016/miRNA_Expression/Turkey_miRNAs_NewGenome.saf" "-M" "-O" "-o" "/home/reedkm/shared/RIS_Projects/Reed_Project_016/miRNA_Expression/Counts/miRNA_Expression.bt.NewGenome.txt" "NCT_48_38_33_101_smRNA_S34" "NCT_48_38_33_102_smRNA_S35" "NCT_48_38_38_61_smRNA_S45" "NCT_48_38_38_62_smRNA_S46" "NCT_48_38_38_R_smRNA_S37" "NCT_48_38_43_51_smRNA_S32" "NCT_48_38_43_52_smRNA_S33" "NCT_72_33_32_smRNA_S31" "NCT_72_33_53_smRNA_S44" "NCT_72_38_71_smRNA_S47" "NCT_72_38_73_smRNA_S48" "NCT_72_38_R_smRNA_S36" "NCT_72_43_21_smRNA_S29" "NCT_72_43_22_smRNA_S30" "RBC2_48_38_33_101_smRNA_S27" "RBC2_48_38_33_102_smRNA_S28" "RBC2_48_38_38_12_smRNA_S38" "RBC2_48_38_38_14_smRNA_S39" "RBC2_48_38_43_22_smRNA_S40" "RBC2_48_38_43_24_smRNA_S41" "RBC2_72_38_11_smRNA_S25" "RBC2_72_38_12_smRNA_S26" "RBC2_72_43_41_smRNA_S42" "RBC2_72_43_42_smRNA_S43" 
Geneid	Chr	Start	End	Strand	Length	NCT_48_38_33_101_smRNA_S34	NCT_48_38_33_102_smRNA_S35	NCT_48_38_38_61_smRNA_S45	NCT_48_38_38_62_smRNA_S46	NCT_48_38_38_R_smRNA_S37	NCT_48_38_43_51_smRNA_S32	NCT_48_38_43_52_smRNA_S33	NCT_72_33_32_smRNA_S31	NCT_72_33_53_smRNA_S44	NCT_72_38_71_smRNA_S47	NCT_72_38_73_smRNA_S48	NCT_72_38_R_smRNA_S36	NCT_72_43_21_smRNA_S29	NCT_72_43_22_smRNA_S30	RBC2_48_38_33_101_smRNA_S27	RBC2_48_38_33_102_smRNA_S28	RBC2_48_38_38_12_smRNA_S38	RBC2_48_38_38_14_smRNA_S39	RBC2_48_38_43_22_smRNA_S40	RBC2_48_38_43_24_smRNA_S41	RBC2_72_38_11_smRNA_S25	RBC2_72_38_12_smRNA_S26	RBC2_72_43_41_smRNA_S42	RBC2_72_43_42_smRNA_S43
known:OW982291.1_814	OW982291.1	45761560	45761619	+	60	1	0	0	1	0	0	3	3	2	2	4	0	4	3	1	2	4	4	8	6	2	4	6	7
known:OW982291.1_4863	OW982291.1	48900798	48900857	-	60	22	21	7	39	1	31	30	11	27	24	39	7	60	59	15	18	19	12	32	17	26	35	35	30
novel:OW982291.1_4949	OW982291.1	50027908	50027968	-	61	12	6	14	9	2	4	5	16	39	41	34	0	22	18	2	4	8	10	17	11	16	22	15	19
novel:OW982291.1_4950	OW982291.1	50027950	50028003	-	54	12	6	15	9	2	4	6	15	39	40	33	0	22	18	2	4	7	10	16	10	16	25	15	18
novel:OW982291.1_1361	OW982291.1	57626851	57626916	+	66	1	1	2	3	0	2	8	0	12	2	14	0	21	15	2	3	6	5	11	8	6	4	21	13
novel:OW982291.1_1377	OW982291.1	58726524	58726563	+	40	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
novel:OW982291.1_5254	OW982291.1	61552862	61552941	-	80	0	0	1	0	0	1	0	10	4	1	2	1	3	2	0	3	4	2	2	0	7	11	1	3
novel:OW982291.1_5272	OW982291.1	62483508	62483582	-	75	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0
novel:OW982291.1_1588	OW982291.1	68250123	68250195	+	73	0	0	0	0	0	0	0	8	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0
known:OW982291.1_1658	OW982291.1	70713871	70713942	+	72	861	885	1064	930	11	5061	1392	1257	1815	2389	1481	7	2026	2216	887	1223	1276	1608	2006	1514	1883	2380	2134	2047
novel:OW982291.1_5555	OW982291.1	78691301	78691369	-	69	0	0	1	2	0	2	2	26	4	1	1	8	0	0	1	0	0	3	2	3	7	7	0	1
novel:OW982291.1_1876	OW982291.1	81105795	81105851	+	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
novel:OW982291.1_2272	OW982291.1	98330906	98330968	+	63	1	1	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	2	1	1	1	0	1
known:OW982291.1_2296	OW982291.1	99414180	99414238	+	59	62	57	48	69	0	47	116	87	114	85	135	0	120	69	54	98	106	107	159	101	116	153	122	97
known:OW982291.1_2298	OW982291.1	99414921	99414987	+	67	111	126	131	110	1	353	182	164	247	208	129	1	200	170	117	158	142	211	265	204	208	180	170	207
known:OW982291.1_2300	OW982291.1	99447163	99447223	+	61	2166	2304	1789	2280	13	1437	3202	3561	7030	5757	5868	12	5627	6514	2353	3463	3701	4716	5650	4061	7323	8603	7258	7336
novel:OW982291.1_5831	OW982291.1	103327857	103327912	-	56	31	17	61	64	60	140	56	13	14	35	19	15	31	25	22	35	19	39	125	91	42	70	50	35
novel:OW982291.1_2437	OW982291.1	106967335	106967376	+	42	0	0	0	0	0	0	1	3	12	2	0	0	0	1	0	0	0	1	0	0	3	4	4	0
novel:OW982291.1_6047	OW982291.1	108074033	108074107	-	75	0	0	0	0	0	0	0	15	11	4	5	2	2	2	0	0	0	0	0	0	7	3	2	2
known:OW982291.1_2498	OW982291.1	110767104	110767166	+	63	27	33	9	31	1	181	47	77	150	101	113	0	103	122	30	36	45	42	57	24	140	154	127	132
known:OW982291.1_2499	OW982291.1	110767621	110767676	+	56	327	399	170	338	0	293	470	1435	1376	701	1180	3	1689	1303	409	552	530	538	861	413	1315	1663	1558	1629
novel:OW982291.1_6215	OW982291.1	117895365	117895415	-	51	12	8	19	5	0	5	10	18	17	17	27	2	18	21	5	12	11	20	22	13	24	23	26	33
novel:OW982291.1_6268	OW982291.1	120402574	120402621	-	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
novel:OW982291.1_6348	OW982291.1	125306596	125306669	-	74	1	1	1	1	0	1	1	11	10	10	2	0	8	3	0	2	0	0	3	0	9	5	7	9
novel:OW982291.1_6374	OW982291.1	127790352	127790412	-	61	1	3	36	11	7	1	1	17	35	11	3	1	3	10	0	0	4	4	3	6	4	13	14	10
novel:OW982291.1_3027	OW982291.1	133166773	133166817	+	45	0	0	7	6	0	6	2	7	4	2	10	0	1	2	0	0	2	3	4	3	7	8	7	8
known:OW982291.1_3058	OW982291.1	133691726	133691780	+	55	8	5	6	4	2	7	14	37	52	20	16	3	26	27	15	17	21	19	34	25	32	47	26	22
known:OW982291.1_6720	OW982291.1	148027730	148027789	-	60	380	446	253	620	2	665	596	871	1135	830	1430	12	1684	1112	549	813	648	631	1039	703	1300	1914	1564	1549
known:OW982291.1_6721	OW982291.1	148027862	148027920	-	59	39	32	19	71	2	20	61	48	67	55	88	19	110	75	52	85	61	51	98	65	99	131	110	124
known:OW982291.1_6724	OW982291.1	148028036	148028092	-	57	257	292	148	294	3	251	375	290	467	426	624	5	1418	973	501	595	352	453	649	428	717	1079	862	829
known:OW982291.1_6727	OW982291.1	148028328	148028385	-	58	753	719	337	909	5	752	1190	1401	1142	967	1777	2	2104	1485	654	1110	1070	1009	1666	946	1893	2475	1981	1927
novel:OW982291.1_3369	OW982291.1	154266762	154266815	+	54	0	3	0	0	1	3	3	56	40	6	17	2	11	9	0	0	2	4	6	5	23	53	12	17
novel:OW982291.1_3395	OW982291.1	154462008	154462048	+	41	2	0	0	1	0	1	3	3	0	2	4	0	0	0	0	0	1	0	0	0	1	0	3	2
novel:OW982291.1_3396	OW982291.1	154462028	154462088	+	61	2	0	0	1	0	1	3	2	0	2	4	0	0	0	0	0	1	0	0	0	1	0	3	1
novel:OW982291.1_6827	OW982291.1	158738920	158738985	-	66	0	1	16	36	0	14	6	14	6	36	21	0	7	15	1	3	0	3	44	27	26	27	43	35
novel:OW982291.1_6861	OW982291.1	164408813	164408854	-	42	1	1	3	2	2	3	0	3	0	2	1	1	6	3	0	1	1	0	1	0	0	1	4	2
known:OW982291.1_6991	OW982291.1	169442966	169443026	-	61	258	300	186	305	0	284	494	442	519	356	508	1	742	719	336	394	413	469	725	444	584	719	731	665
known:OW982291.1_6993	OW982291.1	169443110	169443167	-	58	60	51	37	90	1	61	81	55	72	84	141	3	208	140	79	108	115	104	163	99	112	166	190	134
novel:OW982291.1_7006	OW982291.1	169463654	169463732	-	79	17	32	32	44	14	42	22	4	5	7	7	0	22	20	21	22	39	33	24	15	10	8	17	12
novel:OW982291.1_3808	OW982291.1	180479738	180479813	+	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
novel:OW982291.1_3824	OW982291.1	182060405	182060460	+	56	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
novel:OW982291.1_7202	OW982291.1	182714932	182715002	-	71	0	0	2	2	0	0	0	0	0	2	2	1	4	2	0	0	0	0	2	1	3	2	7	1
novel:OW982291.1_7260	OW982291.1	187363841	187363904	-	64	1	0	4	3	0	39	11	0	0	1	0	1	4	8	0	1	4	2	14	18	1	3	12	16
novel:OW982292.1_7719	OW982292.1	9681332	9681414	+	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
novel:OW982292.1_8188	OW982292.1	27819217	27819269	+	53	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0
novel:OW982292.1_10364	OW982292.1	29698450	29698516	-	67	22	34	18	25	0	42	26	20	11	15	19	0	16	24	13	13	27	31	54	21	10	24	18	10
novel:OW982292.1_8211	OW982292.1	29708413	29708469	+	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
known:OW982292.1_10416	OW982292.1	30823068	30823129	-	62	757	828	733	927	6	3862	1325	1338	1851	1526	1392	2	1592	1799	757	1057	1024	1327	1791	1467	1795	2161	1933	1935
novel:OW982292.1_8243	OW982292.1	32958076	32958127	+	52	0	1	2	0	1	0	1	0	0	3	0	0	0	0	1	0	0	0	0	1	1	0	0	0
novel:OW982292.1_8390	OW982292.1	39324002	39324063	+	62	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
novel:OW982292.1_10706	OW982292.1	48182971	48183033	-	63	1	0	0	0	0	0	1	15	2	0	1	0	1	0	0	0	0	0	0	2	1	1	0	0
novel:OW982292.1_8715	OW982292.1	56453534	56453596	+	63	7	12	2	11	0	19	6	32	61	55	35	13	11	6	9	22	15	15	9	4	64	71	13	19
known:OW982292.1_8979	OW982292.1	73079537	73079576	+	40	8	6	10	7	0	1	7	21	49	25	17	0	12	9	30	28	25	30	29	24	20	22	36	24
known:OW982292.1_8980	OW982292.1	73079559	73079612	+	54	8	6	10	7	0	1	7	21	49	24	17	0	12	9	30	28	25	30	29	24	20	22	36	24
known:OW982292.1_9046	OW982292.1	75268636	75268694	+	59	790	832	647	906	77	839	1370	994	1363	1346	1244	53	1861	1771	679	993	1238	1431	2118	1455	1294	1458	1800	1701
known:OW982292.1_9221	OW982292.1	81627150	81627213	+	64	215	242	250	263	4	363	241	390	569	725	578	6	453	432	198	327	332	494	402	293	457	562	410	414
known:OW982292.1_9226	OW982292.1	81653906	81653967	+	62	207	233	153	205	6	237	359	333	357	304	394	2	467	429	189	272	277	315	491	350	359	426	471	439
novel:OW982292.1_9415	OW982292.1	93799415	93799482	+	68	0	0	0	0	0	0	0	8	16	0	3	0	0	0	0	1	0	1	2	0	1	6	0	1
known:OW982292.1_9450	OW982292.1	96150897	96150956	+	60	1	1	1	4	0	5	0	2	10	10	7	0	10	14	2	5	7	8	6	11	7	17	19	13
novel:OW982292.1_9613	OW982292.1	106818878	106818930	+	53	0	0	1	3	0	2	1	1	1	0	0	0	0	1	0	0	0	2	0	0	1	1	1	4
known:OW982292.1_11552	OW982292.1	106912736	106912795	-	60	7826	8189	14929	13750	114	23693	16853	296	137	345	224	1	4185	4889	3126	4622	9808	12592	17213	13556	66	70	1744	1163
novel:OW982293.1_11584	OW982293.1	205622	205696	+	75	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
novel:OW982293.1_11759	OW982293.1	9018741	9018790	+	50	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
novel:OW982293.1_11769	OW982293.1	9892185	9892230	+	46	2	3	2	0	0	0	0	3	2	2	3	0	0	0	4	0	1	0	1	0	2	0	1	0
novel:OW982293.1_13080	OW982293.1	11246064	11246132	-	69	1	5	1	0	0	10	9	0	2	1	0	1	0	3	2	5	4	4	6	2	2	6	1	5
novel:OW982293.1_13144	OW982293.1	14117332	14117373	-	42	26	25	22	18	19	12	10	0	2	5	2	3	10	14	7	21	20	25	16	7	4	3	9	10
known:OW982293.1_12063	OW982293.1	29585828	29585881	+	54	5	8	24	19	0	7	10	4	7	4	14	0	10	7	3	2	12	20	19	8	5	4	11	11
known:OW982293.1_12064	OW982293.1	29585862	29585913	+	52	5	8	24	19	0	7	10	4	7	4	14	0	10	7	3	2	12	20	19	8	5	4	11	11
known:OW982293.1_13413	OW982293.1	30192006	30192052	-	47	5	10	9	15	1	10	16	14	39	13	26	0	12	19	7	15	17	13	7	7	15	30	14	16
known:OW982293.1_13414	OW982293.1	30192032	30192093	-	62	10	12	14	21	1	13	23	14	41	20	28	0	33	25	9	19	20	26	22	13	19	35	18	28
novel:OW982293.1_13427	OW982293.1	31576201	31576256	-	56	14	25	7	6	0	6	2	3	50	31	21	0	2	0	29	26	18	21	3	2	11	11	0	2
known:OW982293.1_13826	OW982293.1	48190148	48190208	-	61	302	324	4440	2900	28	9579	5514	84	118	217	114	0	335	382	154	252	1160	1803	8637	6437	119	169	226	232
novel:OW982293.1_13839	OW982293.1	49414810	49414866	-	57	2	4	2	4	0	7	5	1	5	9	3	0	8	8	5	4	1	2	5	6	7	1	4	10
novel:OW982293.1_13890	OW982293.1	52299170	52299215	-	46	119	121	79	106	32	69	17	21	18	72	65	25	36	41	76	136	43	63	16	19	43	57	32	31
novel:OW982293.1_12357	OW982293.1	53570185	53570229	+	45	2	2	0	1	0	0	0	0	1	0	0	0	2	1	0	0	0	1	2	0	0	0	0	1
novel:OW982293.1_12561	OW982293.1	66063371	66063437	+	67	2	4	0	1	0	4	2	5	14	5	1	0	2	1	1	3	3	1	3	2	3	7	2	0
novel:OW982293.1_12756	OW982293.1	81111261	81111332	+	72	0	0	1	0	0	1	2	0	0	0	3	1	0	0	1	0	1	0	0	0	1	2	0	0
novel:OW982293.1_14451	OW982293.1	82272436	82272518	-	83	89	90	127	88	79	86	23	34	82	131	46	48	106	145	63	89	49	74	31	32	49	65	168	153
novel:OW982293.1_12779	OW982293.1	83477277	83477322	+	46	0	0	0	0	0	0	0	3	3	1	4	0	1	0	0	0	0	1	1	0	0	2	3	3
known:OW982293.1_14549	OW982293.1	87554835	87554894	-	60	42	55	26	32	0	34	41	64	85	49	57	3	39	48	38	54	72	57	60	30	59	70	31	32
known:OW982293.1_14552	OW982293.1	87558308	87558366	-	59	15	17	5	22	0	11	16	25	24	7	24	0	30	12	14	20	26	18	17	17	18	26	23	19
novel:OW982294.1_45169	OW982294.1	1405511	1405567	-	57	1	0	0	0	0	1	0	0	1	1	0	0	0	0	1	1	1	0	1	0	0	0	2	0
known:OW982294.1_45535	OW982294.1	17058561	17058618	-	58	1	2	0	2	0	0	0	7	11	6	3	0	12	10	1	0	4	8	5	1	14	6	9	5
novel:OW982294.1_43852	OW982294.1	17148940	17149016	+	77	1	0	0	1	0	1	0	39	15	3	4	0	2	1	0	0	0	0	1	0	1	4	6	9
known:OW982294.1_44233	OW982294.1	28467304	28467358	+	55	19	19	15	31	0	87	26	34	43	37	47	1	66	52	27	21	28	49	41	27	54	52	58	63
known:OW982294.1_44316	OW982294.1	35626460	35626518	+	59	2337	2512	3601	3480	27	1249	2967	600	661	979	759	0	1140	1254	995	1605	2489	3703	2282	1697	546	663	670	592
known:OW982294.1_45915	OW982294.1	35896621	35896680	-	60	0	1	1	0	1	1	1	5	3	2	1	0	1	1	0	1	0	0	2	3	1	0	1	3
novel:OW982294.1_44387	OW982294.1	39315151	39315196	+	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
novel:OW982294.1_44395	OW982294.1	40636949	40637006	+	58	4	1	3	1	0	2	1	1	3	5	0	0	7	8	0	3	2	4	8	7	4	1	10	1
known:OW982294.1_44435	OW982294.1	42221678	42221735	+	58	10596	12362	15630	14583	90	37028	26753	17112	24683	27844	20186	74	26870	31516	9650	14695	20246	26077	34538	24939	20397	25878	26206	26032
known:OW982294.1_44437	OW982294.1	42221918	42221980	+	63	421	461	260	662	5	309	905	607	857	597	983	9	1303	959	467	676	752	716	1176	686	960	1214	1041	1003
known:OW982294.1_44439	OW982294.1	42222442	42222501	+	60	4037	4559	4750	6778	67	21895	11265	7168	8731	7494	9025	68	12533	11384	3880	5462	7224	8142	13735	9611	8815	12161	11114	10509
novel:OW982294.1_44666	OW982294.1	51974371	51974436	+	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
novel:OW982294.1_44710	OW982294.1	54593313	54593375	+	63	0	1	2	1	0	1	2	0	0	0	0	0	0	0	0	1	0	2	2	1	0	0	0	1
novel:OW982294.1_46254	OW982294.1	57755388	57755427	-	40	0	0	0	0	0	0	0	12	5	0	1	0	0	0	0	0	0	0	0	1	1	4	1	2
known:OW982294.1_44887	OW982294.1	64554879	64554935	+	57	45	25	33	21	3	45	20	56	78	68	48	6	37	39	17	17	35	47	22	26	31	28	28	26
known:OW982294.1_44888	OW982294.1	64554914	64554990	+	77	32	22	19	13	2	22	8	34	48	45	38	5	19	29	14	13	20	33	17	15	25	21	20	13
novel:OW982294.1_46344	OW982294.1	64884086	64884139	-	54	0	0	0	0	0	0	0	16	1	0	0	0	0	0	1	0	0	1	0	0	2	4	0	0
known:OW982294.1_45095	OW982294.1	77941321	77941378	+	58	20880	22171	23539	23042	577	35125	32184	36338	43312	42491	30454	479	39427	41328	9739	14394	19924	26891	24425	18704	22416	25770	23887	23356
novel:OW982294.1_45097	OW982294.1	77941481	77941538	+	58	25	25	18	24	4	4	21	25	30	38	58	4	15	24	8	8	12	23	32	14	22	20	16	23
known:OW982294.1_46496	OW982294.1	77951993	77952057	-	65	5	8	13	11	0	5	12	16	18	20	17	0	13	11	5	13	8	8	22	3	21	12	11	8
novel:OW982295.1_16009	OW982295.1	455503	455584	-	82	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
novel:OW982295.1_14862	OW982295.1	11771110	11771174	+	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
novel:OW982295.1_14863	OW982295.1	12146148	12146206	+	59	5	0	0	2	0	0	1	2	6	5	1	0	3	11	5	3	0	1	2	1	5	10	1	2
novel:OW982295.1_14969	OW982295.1	15849751	15849794	+	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
novel:OW982295.1_15060	OW982295.1	24481844	24481903	+	60	0	0	0	0	0	0	0	0	0	1	1	0	2	1	1	0	0	0	1	0	2	2	0	2
novel:OW982295.1_15126	OW982295.1	27252619	27252678	+	60	2	0	0	0	0	0	0	3	2	1	3	0	4	1	0	2	0	1	4	0	1	3	0	0
novel:OW982295.1_16451	OW982295.1	29854398	29854462	-	65	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0
novel:OW982295.1_15424	OW982295.1	38896591	38896650	+	60	1	2	4	6	1	0	2	23	39	23	15	0	5	15	13	10	11	14	3	7	33	33	10	0
novel:OW982295.1_16736	OW982295.1	42222054	42222129	-	76	2	0	2	4	0	2	2	2	12	1	4	0	3	3	0	3	4	4	12	10	6	11	4	11
known:OW982295.1_15520	OW982295.1	44540257	44540317	+	61	4	3	7	9	0	26	3	0	0	0	0	0	0	0	3	0	9	6	19	7	0	1	1	0
known:OW982295.1_16939	OW982295.1	55524383	55524445	-	63	1	2	1	3	0	1	1	0	3	3	6	0	8	2	2	5	2	3	6	4	1	1	5	4
novel:OW982295.1_15749	OW982295.1	58616831	58616876	+	46	0	0	0	0	0	1	0	7	12	2	3	0	0	0	0	0	0	0	0	0	8	7	5	6
novel:OW982295.1_17096	OW982295.1	65869742	65869816	-	75	0	0	0	0	0	0	1	21	11	0	0	2	0	1	0	2	1	0	0	0	7	13	0	1
known:OW982295.1_17122	OW982295.1	68801008	68801067	-	60	167	146	112	204	1	655	423	179	200	185	283	0	432	372	127	227	305	267	620	366	376	430	487	458
known:OW982295.1_17129	OW982295.1	69019787	69019850	-	64	1024	1076	1121	1377	13	1533	1960	2858	3927	2849	2622	19	2507	2608	961	1468	1785	2261	3268	2110	2119	2800	2544	2732
novel:OW982296.1_18749	OW982296.1	1250522	1250600	-	79	6	1	3	5	8	0	5	2	1	1	2	3	2	0	5	7	7	2	2	2	0	3	0	0
novel:OW982296.1_18762	OW982296.1	1854251	1854296	-	46	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
novel:OW982296.1_17262	OW982296.1	7175494	7175550	+	57	0	0	3	0	0	13	2	0	2	2	0	0	1	4	0	1	0	3	5	5	1	1	3	5
novel:OW982296.1_17269	OW982296.1	7429722	7429783	+	62	22	11	34	44	2	137	109	15	21	54	42	0	131	181	12	17	55	61	138	119	33	38	135	112
novel:OW982296.1_17297	OW982296.1	8028799	8028851	+	53	0	0	1	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	2	1	0	0
known:OW982296.1_17568	OW982296.1	16966852	16966911	+	60	407	439	341	906	2	1645	1633	263	255	499	846	0	1592	1153	264	447	732	652	2044	1231	850	1081	1294	1227
known:OW982296.1_17769	OW982296.1	22850875	22850942	+	68	10	7	7	12	0	10	32	17	25	49	44	1	81	76	17	15	18	24	67	48	74	95	123	143
known:OW982296.1_17770	OW982296.1	22850922	22850984	+	63	40	37	41	74	0	67	78	78	108	180	134	1	163	165	52	51	80	105	206	136	208	223	290	294
novel:OW982296.1_17818	OW982296.1	24091100	24091161	+	62	3	0	0	0	0	0	0	0	2	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0
novel:OW982296.1_19394	OW982296.1	26228331	26228390	-	60	0	4	6	8	16	4	4	0	1	0	1	2	1	3	2	0	6	6	5	4	0	0	1	1
novel:OW982296.1_17909	OW982296.1	26333062	26333132	+	71	0	0	2	2	0	0	3	68	14	4	9	2	5	5	0	0	1	1	0	0	25	23	5	1
