# Program:featureCounts v2.0.3; Command:"/home/reedkm/shared/RIS_Projects/Software/subread-2.0.3-Linux-x86_64/bin/featureCounts" "-Q" "10" "-s" "1" "-T" "12" "-F" "SAF" "-a" "/home/reedkm/shared/RIS_Projects/Reed_Project_016/miRNA_Expression/Turkey_miRNAs.saf" "-M" "-O" "-o" "/home/reedkm/shared/RIS_Projects/Reed_Project_016/miRNA_Expression/Counts/miRNA_Expression.txt" "NCT_48_38_33_101_smRNA_S34" "NCT_48_38_33_102_smRNA_S35" "NCT_48_38_38_61_smRNA_S45" "NCT_48_38_38_62_smRNA_S46" "NCT_48_38_38_R_smRNA_S37" "NCT_48_38_43_51_smRNA_S32" "NCT_48_38_43_52_smRNA_S33" "NCT_72_33_32_smRNA_S31" "NCT_72_33_53_smRNA_S44" "NCT_72_38_71_smRNA_S47" "NCT_72_38_73_smRNA_S48" "NCT_72_38_R_smRNA_S36" "NCT_72_43_21_smRNA_S29" "NCT_72_43_22_smRNA_S30" "RBC2_48_38_33_101_smRNA_S27" "RBC2_48_38_33_102_smRNA_S28" "RBC2_48_38_38_12_smRNA_S38" "RBC2_48_38_38_14_smRNA_S39" "RBC2_48_38_43_22_smRNA_S40" "RBC2_48_38_43_24_smRNA_S41" "RBC2_72_38_11_smRNA_S25" "RBC2_72_38_12_smRNA_S26" "RBC2_72_43_41_smRNA_S42" "RBC2_72_43_42_smRNA_S43" 
Geneid	Chr	Start	End	Strand	Length	NCT_48_38_33_101_smRNA_S34	NCT_48_38_33_102_smRNA_S35	NCT_48_38_38_61_smRNA_S45	NCT_48_38_38_62_smRNA_S46	NCT_48_38_38_R_smRNA_S37	NCT_48_38_43_51_smRNA_S32	NCT_48_38_43_52_smRNA_S33	NCT_72_33_32_smRNA_S31	NCT_72_33_53_smRNA_S44	NCT_72_38_71_smRNA_S47	NCT_72_38_73_smRNA_S48	NCT_72_38_R_smRNA_S36	NCT_72_43_21_smRNA_S29	NCT_72_43_22_smRNA_S30	RBC2_48_38_33_101_smRNA_S27	RBC2_48_38_33_102_smRNA_S28	RBC2_48_38_38_12_smRNA_S38	RBC2_48_38_38_14_smRNA_S39	RBC2_48_38_43_22_smRNA_S40	RBC2_48_38_43_24_smRNA_S41	RBC2_72_38_11_smRNA_S25	RBC2_72_38_12_smRNA_S26	RBC2_72_43_41_smRNA_S42	RBC2_72_43_42_smRNA_S43
novel:2_10147	2	74154038	74154122	-	85	108	110	219	192	429	252	254	16	12	28	25	70	106	118	86	140	174	182	224	167	55	78	70	60
known:2_8190	2	74935215	74935273	+	59	795	836	653	911	76	852	1379	1001	1367	1358	1258	53	1880	1785	681	1006	1258	1439	2124	1472	1308	1464	1808	1712
known:2_8365	2	81135692	81135755	+	64	214	245	254	264	4	371	244	394	576	738	583	6	457	432	197	333	339	497	408	292	457	570	416	415
known:2_8370	2	81162538	81162599	+	62	44	46	36	31	3	182	78	92	119	119	128	0	137	131	25	70	55	58	116	95	108	126	149	141
known:2_8562	2	92863518	92863577	+	60	1	1	1	4	0	6	0	2	10	10	7	0	10	14	2	5	7	8	6	11	7	18	20	13
novel:2_10462	2	93873105	93873162	-	58	0	0	0	0	0	0	0	2	1	1	2	0	1	2	0	0	0	0	0	0	3	4	1	0
novel:2_8613	2	95197391	95197458	+	68	0	0	0	0	0	0	0	8	17	0	3	0	0	0	0	1	0	1	2	0	1	8	0	1
novel:2_8659	2	102562011	102562081	+	71	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0
novel:2_10621	2	104448912	104448992	-	81	5	6	10	5	0	5	2	1	3	4	3	3	7	5	2	4	1	10	3	3	0	3	2	1
novel:2_8742	2	105612171	105612243	+	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
known:2_10652	2	108588373	108588432	-	60	7261	7660	13863	12788	109	21776	15722	277	130	330	208	1	3904	4561	2880	4315	9089	11758	15899	12517	62	70	1635	1089
novel:3_10670	3	591484	591558	+	75	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
novel:3_10817	3	8383689	8383738	+	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
novel:3_10829	3	9255005	9255050	+	46	1	2	2	0	0	0	0	1	2	2	2	0	0	0	4	0	1	0	0	0	2	0	1	0
known:3_11129	3	29728344	29728397	+	54	5	8	26	21	0	7	10	4	7	4	14	0	10	7	3	2	12	20	19	8	5	4	11	11
known:3_11130	3	29728378	29728429	+	52	5	8	26	21	0	7	10	4	7	4	14	0	10	7	3	2	12	20	19	8	5	4	11	11
known:3_12353	3	30336775	30336821	-	47	5	8	9	15	1	11	16	12	38	14	26	0	12	19	7	14	17	13	7	7	15	29	14	16
known:3_12354	3	30336801	30336862	-	62	10	10	14	21	1	14	23	12	40	21	28	0	33	25	9	18	20	26	22	13	19	34	18	28
novel:3_12367	3	31716623	31716678	-	56	14	25	8	6	0	6	2	3	50	34	21	0	2	0	27	26	18	23	4	2	11	11	0	4
known:3_12730	3	47694965	47695025	-	61	0	1	1	1	0	1	7	0	0	3	0	0	0	0	0	2	1	1	9	8	1	1	0	0
novel:3_12751	3	48922060	48922116	-	57	2	4	2	4	0	7	5	1	5	9	3	0	8	8	5	4	1	2	5	7	7	1	4	11
known:3_11587	3	69182970	69183033	+	64	473	506	549	554	27	898	590	545	865	724	599	10	610	598	466	673	663	1016	829	567	552	742	512	526
known:3_11590	3	69184739	69184799	+	61	86	84	104	103	3	525	191	109	162	187	131	5	228	239	92	156	153	184	254	161	135	166	180	161
novel:3_13172	3	73957295	73957377	-	83	7	2	3	5	0	2	6	393	123	32	28	5	21	26	1	1	7	4	14	9	111	113	23	23
novel:3_11734	3	80375198	80375269	+	72	0	0	0	0	0	0	0	1	2	0	7	1	0	0	0	1	0	1	0	2	2	4	2	1
known:3_13463	3	91247875	91247934	-	60	38	54	26	33	0	36	38	64	81	47	58	3	34	47	40	52	71	54	57	26	57	66	31	30
known:3_13466	3	91251347	91251405	-	59	15	17	5	20	0	11	16	22	23	6	25	0	31	12	14	20	26	17	17	16	18	25	23	15
novel:4_13795	4	14881349	14881392	+	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
novel:4_15085	4	17676683	17676747	-	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
novel:4_15086	4	17676726	17676766	-	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
novel:4_13944	4	22489836	22489895	+	60	2	0	0	0	0	0	0	4	2	5	4	0	6	2	1	2	1	1	6	0	4	6	0	2
novel:4_14232	4	37728738	37728797	+	60	2	2	3	5	1	0	2	21	31	18	15	0	5	9	10	9	6	14	3	10	28	19	10	0
novel:4_15460	4	41048839	41048914	-	76	3	0	2	5	0	1	2	3	13	4	4	0	4	4	0	3	5	4	12	10	7	11	5	14
known:4_14332	4	43605854	43605914	+	61	2	3	7	9	0	26	3	0	0	0	0	0	0	0	2	0	8	6	18	7	0	1	1	0
known:4_15661	4	54721508	54721570	-	63	0	0	0	0	0	1	0	0	0	2	0	0	1	0	0	0	0	0	0	2	0	0	0	1
known:4_15805	4	65640712	65640775	-	64	1021	1045	1126	1362	14	1553	1948	2854	3931	2848	2611	18	2458	2559	958	1468	1766	2261	3257	2106	2105	2764	2518	2738
known:4_15814	4	65835083	65835142	-	60	5	4	1	2	0	8	3	2	3	0	4	0	7	2	1	7	2	4	11	4	7	6	10	6
novel:4_15836	4	68755031	68755105	-	75	0	0	0	0	0	0	1	23	11	0	0	3	0	1	0	2	1	0	0	0	7	13	0	1
novel:4_14782	4	70249695	70249757	+	63	0	2	0	1	0	1	1	1	6	2	1	0	2	4	1	2	0	5	0	3	3	0	2	0
novel:5_15931	5	4565855	4565916	+	62	21	10	33	43	2	131	106	14	19	52	39	0	125	178	12	16	51	59	134	118	33	37	131	109
novel:5_15944	5	4855028	4855084	+	57	0	0	3	0	0	14	2	0	2	3	0	0	3	4	0	1	0	4	7	5	1	1	3	5
novel:5_15951	5	4873425	4873482	+	58	0	0	1	0	1	0	0	0	3	1	8	1	0	0	0	2	1	4	0	0	6	0	3	2
novel:5_17482	5	6188628	6188676	-	49	66	49	55	65	190	41	31	18	10	24	20	60	40	43	57	94	68	81	55	66	23	18	39	17
novel:5_16087	5	9959977	9960029	+	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
known:5_16238	5	15032365	15032424	+	60	410	447	347	917	2	1670	1648	267	256	501	847	0	1602	1163	266	450	741	666	2061	1240	857	1088	1296	1239
novel:5_16439	5	20858637	20858691	+	55	0	0	2	0	0	2	0	22	13	3	5	1	2	1	0	2	2	0	1	1	7	19	2	5
novel:5_17872	5	20974539	20974598	-	60	0	0	0	0	2	1	0	0	0	1	0	0	0	0	0	1	1	0	1	0	1	0	0	2
novel:5_16540	5	23149101	23149162	+	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
novel:5_18184	5	31893706	31893750	-	45	0	0	0	2	0	0	0	23	9	1	7	0	1	4	0	0	0	1	0	0	7	9	0	1
novel:5_18682	5	52114829	52114908	-	80	1	0	0	1	0	0	0	22	5	2	1	0	1	2	0	0	0	0	4	1	9	9	1	1
novel:5_18787	5	54886586	54886626	-	41	4	4	1	4	0	2	4	1	5	1	3	1	2	1	1	3	3	4	3	1	4	2	9	2
known:5_18837	5	55616738	55616794	-	57	7	4	15	10	0	28	23	6	15	27	18	0	38	39	5	4	26	21	34	29	13	19	28	32
known:5_18838	5	55616773	55616822	-	50	6	4	15	9	0	5	17	6	11	20	11	0	29	30	3	4	19	16	26	19	10	17	24	23
known:6_18982	6	3215864	3215931	+	68	0	0	0	0	0	0	0	2	6	3	4	0	2	0	2	2	2	1	0	2	1	1	0	0
known:6_19004	6	4094588	4094648	+	61	1	11	1	3	0	5	2	11	8	6	5	0	12	10	3	5	3	1	3	1	5	9	4	7
known:6_20063	6	8365384	8365430	-	47	6	10	8	11	0	0	13	8	3	13	13	0	15	13	10	17	5	19	18	18	8	12	18	12
known:6_20064	6	8365408	8365469	-	62	6	10	8	11	0	0	13	8	3	13	13	0	15	13	10	17	5	19	18	18	8	12	18	12
novel:6_20278	6	19606061	19606101	-	41	8	5	16	6	29	14	10	43	12	24	7	17	11	9	6	4	8	6	15	9	23	28	8	12
novel:6_19624	6	29929607	29929673	+	67	2	1	1	1	0	4	1	4	3	3	2	1	5	2	0	0	0	0	1	1	3	5	2	2
novel:6_20501	6	30610132	30610195	-	64	1	1	0	1	0	1	0	30	14	3	7	0	3	7	0	0	1	2	0	1	15	8	2	9
known:6_20585	6	35267488	35267543	-	56	1	0	1	1	0	0	4	2	0	1	4	0	1	1	2	0	0	2	2	0	1	1	2	0
novel:6_20588	6	35269710	35269765	-	56	8	11	9	13	0	11	14	23	17	22	13	0	8	7	17	28	15	39	13	10	21	33	13	8
known:6_20659	6	39445224	39445285	-	62	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
known:6_19865	6	44167836	44167893	+	58	14	18	22	13	1	78	23	0	0	1	1	1	6	7	14	13	15	16	30	17	0	0	6	4
novel:7_22056	7	661443	661496	-	54	0	0	0	0	0	3	3	1	2	3	1	0	3	1	0	1	1	1	1	5	2	0	7	0
known:7_21008	7	5989657	5989715	+	59	55	60	40	84	0	5	28	150	244	188	193	2	103	70	89	98	77	74	45	34	147	218	64	51
novel:7_22350	7	12055175	12055231	-	57	11	26	36	33	2	70	26	16	40	93	72	4	70	70	22	27	45	75	65	35	67	61	78	76
known:7_22453	7	15768371	15768428	-	58	4	6	5	7	0	1	3	1	10	32	12	0	2	8	11	14	35	29	23	21	18	29	21	21
known:7_22454	7	15768407	15768494	-	88	4	6	4	7	0	1	3	0	9	27	12	0	1	8	9	12	34	29	20	20	16	26	20	20
known:7_22504	7	17661314	17661373	-	60	118	165	45	74	0	49	58	187	208	170	228	1	197	174	110	165	116	129	86	51	187	223	163	136
novel:7_22526	7	18301944	18302004	-	61	10	0	15	13	1	33	13	20	19	32	19	0	22	9	4	9	17	27	15	7	29	25	14	19
novel:7_22622	7	22465830	22465910	-	81	0	0	3	0	0	2	0	21	0	1	4	0	5	5	0	0	0	0	3	2	12	12	4	6
novel:7_22663	7	22492931	22492990	-	60	39	51	52	63	13	127	72	320	113	106	110	34	223	201	51	73	80	90	169	144	292	288	245	224
known:7_21961	7	34144902	34144957	+	56	19	18	13	8	0	61	20	27	46	37	38	0	24	24	23	22	15	27	12	15	27	28	15	17
novel:8_23827	8	5251078	5251142	-	65	1	0	0	4	0	0	1	10	11	2	4	0	1	0	3	5	0	1	7	2	6	7	6	4
novel:8_23877	8	8584878	8584963	-	86	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
known:8_24156	8	18806911	18806969	-	59	3	1	0	4	0	3	5	5	4	3	11	0	1	3	2	1	2	0	4	1	2	7	3	3
known:8_23454	8	22494140	22494199	+	60	1056	1240	1381	1247	13	937	1259	2414	2420	3384	2418	9	4701	5260	1027	1431	1407	2069	1908	1221	2108	2983	3317	3214
novel:8_24340	8	28418094	28418154	-	61	5	3	17	13	1	101	41	0	0	0	0	0	13	21	0	1	9	7	57	39	1	1	7	2
known:9_24500	9	378836	378891	+	56	13	9	8	16	0	9	4	33	42	19	39	0	12	12	4	24	27	35	13	3	29	41	15	17
novel:9_24578	9	1207564	1207605	+	42	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0
known:9_25110	9	3990546	3990609	-	64	557	601	286	637	1	517	764	998	1272	915	1581	10	1755	1211	635	907	1004	866	1223	754	1810	2286	1954	1938
known:9_25111	9	3990685	3990746	-	62	49	49	29	36	0	108	26	180	253	267	142	2	55	61	44	67	60	83	32	30	141	200	87	90
known:9_25114	9	3990845	3990903	-	59	0	0	0	0	0	1	0	0	0	0	0	4	0	0	1	4	0	0	2	0	0	0	0	0
known:9_25115	9	3990983	3991040	-	58	1065	1083	528	1265	1	894	1460	1519	1794	1449	3009	4	3243	2304	1143	1648	1849	1576	2431	1363	3240	3829	3760	3757
known:9_25118	9	3991171	3991231	-	61	64	69	43	69	0	34	53	255	220	220	148	18	109	107	64	73	82	95	73	46	177	166	145	128
known:9_25119	9	3991304	3991360	-	57	20	8	6	8	0	9	24	28	21	21	32	0	44	34	8	28	15	18	32	19	46	44	48	31
known:9_25123	9	4069234	4069290	-	57	10	7	5	11	0	14	11	30	26	20	21	2	32	22	4	17	18	12	21	10	22	35	25	19
novel:9_25134	9	4262900	4262938	-	39	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
novel:9_24822	9	16246879	16246938	+	60	0	1	0	1	0	1	3	36	5	2	4	0	2	3	0	0	0	2	0	2	5	12	1	2
novel:9_24868	9	16534656	16534720	+	65	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
novel:9_25370	9	17266471	17266546	-	76	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
known:10_26265	10	8247970	8248028	-	59	8	6	1	4	1	8	7	7	12	8	11	2	12	6	5	10	15	18	5	12	5	14	7	12
known:10_26267	10	8248151	8248212	-	62	7	6	9	6	0	7	6	44	17	9	5	0	3	8	13	11	7	7	7	15	7	4	3	4
known:10_26346	10	10978700	10978758	-	59	329	439	500	470	18	1657	934	406	653	472	331	7	440	523	276	383	514	714	926	743	318	357	346	378
known:10_25657	10	10978701	10978758	+	58	53	65	37	63	1	264	114	66	67	59	87	1	143	128	46	74	64	76	158	112	66	84	127	111
known:10_26347	10	10984524	10984583	-	60	0	0	1	1	0	0	3	2	0	1	2	0	0	1	0	0	7	0	2	2	0	1	0	0
novel:10_25692	10	11098977	11099031	+	55	1	0	1	4	0	0	0	89	20	13	2	3	6	2	0	1	1	1	0	1	21	19	4	3
novel:10_25711	10	11638406	11638466	+	61	0	0	0	2	1	0	0	69	19	4	7	0	1	2	1	0	0	3	1	2	10	26	5	3
novel:10_26446	10	13847724	13847781	-	58	0	4	1	3	0	6	1	0	7	4	0	0	7	7	3	0	0	0	2	1	0	0	1	6
known:10_26467	10	13875840	13875901	-	62	1	4	2	4	0	14	6	0	0	1	5	0	2	7	0	0	1	0	5	0	0	2	2	5
novel:10_25885	10	18358903	18358988	+	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
novel:10_26581	10	18610333	18610405	-	73	0	2	0	0	0	1	0	4	3	0	1	0	0	4	0	0	0	0	2	0	1	7	2	1
known:10_26602	10	19032180	19032234	-	55	4	4	0	8	0	1	1	4	4	3	2	0	6	6	1	3	3	1	4	3	4	6	5	4
known:11_28053	11	21890333	21890393	-	61	21	34	37	26	3	51	43	70	99	129	76	17	145	174	34	69	34	40	91	63	92	110	117	118
known:11_28054	11	21890373	21890450	-	78	0	1	0	2	0	1	2	15	17	7	4	0	7	1	2	2	2	2	0	2	10	18	3	5
known:11_28055	11	21890502	21890560	-	59	68	72	59	31	1	50	40	198	269	302	181	3	116	140	93	115	69	91	69	49	163	216	118	112
novel:11_27405	11	22600277	22600332	+	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
novel:11_27410	11	22769107	22769153	+	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
novel:12_28652	12	1704547	1704622	-	76	0	0	0	0	0	0	0	25	17	5	7	0	0	2	0	0	0	0	0	0	16	13	7	2
novel:12_28262	12	5634902	5634972	+	71	2	7	3	2	0	7	1	5	2	5	1	0	0	1	3	7	3	3	0	1	2	6	1	1
known:12_28266	12	5704844	5704901	+	58	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
