# Program:featureCounts v2.0.3; Command:"/home/reedkm/shared/RIS_Projects/Software/subread-2.0.3-Linux-x86_64/bin/featureCounts" "-Q" "10" "-s" "1" "-T" "12" "-F" "SAF" "-a" "/home/reedkm/shared/RIS_Projects/Reed_Project_016/miRNA_Expression/Turkey_miRNAs.saf" "-M" "-O" "-o" "/home/reedkm/shared/RIS_Projects/Reed_Project_016/miRNA_Expression/Counts/miRNA_Expression.bt.txt" "NCT_48_38_33_101_smRNA_S34" "NCT_48_38_33_102_smRNA_S35" "NCT_48_38_38_61_smRNA_S45" "NCT_48_38_38_62_smRNA_S46" "NCT_48_38_38_R_smRNA_S37" "NCT_48_38_43_51_smRNA_S32" "NCT_48_38_43_52_smRNA_S33" "NCT_72_33_32_smRNA_S31" "NCT_72_33_53_smRNA_S44" "NCT_72_38_71_smRNA_S47" "NCT_72_38_73_smRNA_S48" "NCT_72_38_R_smRNA_S36" "NCT_72_43_21_smRNA_S29" "NCT_72_43_22_smRNA_S30" "RBC2_48_38_33_101_smRNA_S27" "RBC2_48_38_33_102_smRNA_S28" "RBC2_48_38_38_12_smRNA_S38" "RBC2_48_38_38_14_smRNA_S39" "RBC2_48_38_43_22_smRNA_S40" "RBC2_48_38_43_24_smRNA_S41" "RBC2_72_38_11_smRNA_S25" "RBC2_72_38_12_smRNA_S26" "RBC2_72_43_41_smRNA_S42" "RBC2_72_43_42_smRNA_S43" 
Geneid	Chr	Start	End	Strand	Length	NCT_48_38_33_101_smRNA_S34	NCT_48_38_33_102_smRNA_S35	NCT_48_38_38_61_smRNA_S45	NCT_48_38_38_62_smRNA_S46	NCT_48_38_38_R_smRNA_S37	NCT_48_38_43_51_smRNA_S32	NCT_48_38_43_52_smRNA_S33	NCT_72_33_32_smRNA_S31	NCT_72_33_53_smRNA_S44	NCT_72_38_71_smRNA_S47	NCT_72_38_73_smRNA_S48	NCT_72_38_R_smRNA_S36	NCT_72_43_21_smRNA_S29	NCT_72_43_22_smRNA_S30	RBC2_48_38_33_101_smRNA_S27	RBC2_48_38_33_102_smRNA_S28	RBC2_48_38_38_12_smRNA_S38	RBC2_48_38_38_14_smRNA_S39	RBC2_48_38_43_22_smRNA_S40	RBC2_48_38_43_24_smRNA_S41	RBC2_72_38_11_smRNA_S25	RBC2_72_38_12_smRNA_S26	RBC2_72_43_41_smRNA_S42	RBC2_72_43_42_smRNA_S43
known:1_1462	1	68052127	68052198	+	72	861	885	1064	930	11	5061	1392	1257	1815	2389	1481	7	2027	2217	887	1223	1276	1608	2006	1514	1883	2380	2134	2047
novel:1_4996	1	72009275	72009325	-	51	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0
novel:1_5238	1	88957311	88957386	-	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
known:1_2054	1	96778655	96778713	+	59	62	57	48	69	0	47	116	87	114	85	135	0	120	69	54	98	106	107	159	101	116	153	122	97
known:1_2056	1	96779396	96779462	+	67	111	126	131	111	1	353	182	164	247	208	129	1	200	170	117	158	142	211	265	204	208	180	170	207
known:1_2058	1	96811732	96811792	+	61	2166	2304	1789	2280	13	1437	3204	3561	7031	5759	5871	12	5628	6515	2355	3465	3703	4718	5652	4061	7324	8604	7258	7338
novel:1_2132	1	102980799	102980863	+	65	489	480	587	484	281	498	171	58	88	233	129	71	214	301	400	531	270	424	290	207	136	166	206	188
novel:1_2183	1	103632024	103632067	+	44	0	0	1	0	0	2	3	14	5	4	0	0	6	4	2	0	0	0	5	1	5	6	2	5
known:1_2316	1	107699261	107699323	+	63	27	33	9	30	1	181	48	76	153	100	113	0	103	122	30	36	45	41	58	24	138	153	126	131
known:1_2317	1	107699778	107699833	+	56	327	399	170	338	0	293	470	1435	1376	701	1180	3	1689	1303	409	552	530	538	861	413	1314	1662	1558	1629
novel:1_2352	1	108832901	108832946	+	46	7	2	8	10	1	15	4	3	0	3	2	0	9	7	1	1	1	1	6	7	0	0	1	1
novel:1_5563	1	109461374	109461413	-	40	0	0	1	5	0	1	0	0	1	1	3	0	2	2	0	0	0	0	6	1	1	3	2	1
novel:1_5653	1	115239780	115239839	-	60	1	0	0	1	0	2	2	3	4	3	6	0	4	6	1	0	2	0	3	4	0	2	1	1
novel:1_5658	1	115434730	115434777	-	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
novel:1_5705	1	117952641	117952691	-	51	12	8	19	5	0	5	10	18	17	17	27	2	18	22	5	12	11	20	23	14	24	23	26	33
known:1_2798	1	129979927	129979981	+	55	8	5	6	4	2	7	14	37	52	20	16	3	26	27	15	17	21	19	34	25	32	47	26	22
known:1_6046	1	144109298	144109357	-	60	382	448	255	624	2	669	599	875	1140	835	1439	12	1692	1119	554	817	651	633	1043	712	1309	1928	1571	1562
known:1_6047	1	144109430	144109488	-	59	39	32	19	71	2	20	61	48	67	56	88	19	110	75	52	85	61	51	98	65	99	131	111	124
known:1_6050	1	144109604	144109660	-	57	283	292	152	299	3	247	394	318	508	460	625	6	1483	1102	545	703	395	505	712	447	742	1152	906	887
known:1_6053	1	144109896	144109953	-	58	754	719	337	908	5	752	1187	1400	1140	967	1774	2	2103	1483	652	1109	1069	1007	1663	946	1894	2475	1980	1926
novel:1_3093	1	149859408	149859461	+	54	0	3	0	0	1	3	3	57	40	6	17	2	11	9	0	0	2	4	6	5	23	53	12	17
novel:1_3121	1	150055287	150055327	+	41	2	0	0	1	0	1	3	3	0	2	4	0	0	0	0	0	1	0	0	0	1	0	3	2
novel:1_3122	1	150055307	150055367	+	61	2	0	0	1	0	1	3	2	0	2	4	0	0	0	0	0	1	0	0	0	1	0	3	1
known:1_6193	1	161574342	161574402	-	61	260	300	189	306	0	289	495	446	525	357	512	1	748	719	336	397	414	472	726	444	585	721	733	666
known:1_6195	1	161574486	161574543	-	58	61	51	38	91	1	61	84	55	72	88	142	3	213	141	79	109	116	105	167	101	112	165	195	134
novel:1_3482	1	174796935	174796990	+	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
novel:1_3487	1	174881025	174881085	+	61	0	2	1	1	0	12	0	0	0	0	0	0	0	1	1	0	1	1	2	5	0	0	0	0
novel:1_3500	1	176332465	176332540	+	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
novel:1_6504	1	181996823	181996886	-	64	1	0	4	3	0	39	11	0	0	1	0	1	4	8	0	1	4	2	14	18	1	3	12	16
novel:2_8948	2	6331755	6331801	-	47	0	0	0	0	0	2	1	0	1	0	0	2	0	1	0	3	1	1	1	1	0	0	0	0
novel:2_6808	2	6943547	6943630	+	84	4	0	10	9	2	34	9	11	20	38	17	10	1	3	2	1	5	8	26	12	36	35	19	13
novel:2_6995	2	15608695	15608777	+	83	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
novel:2_9340	2	24290307	24290376	-	70	0	1	1	3	2	0	0	6	5	3	7	13	2	2	0	2	2	2	4	1	8	7	7	7
novel:2_7435	2	32729356	32729407	+	52	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	1	1	0	3	2
novel:2_9606	2	32749114	32749180	-	67	22	34	18	25	0	42	26	20	11	15	19	0	16	24	14	13	27	31	54	21	10	24	18	10
novel:2_7849	2	58332338	58332400	+	63	7	12	2	11	0	19	6	32	61	55	35	13	11	6	9	22	15	15	9	4	64	71	13	19
novel:2_10147	2	74154038	74154122	-	85	210	216	338	294	495	523	294	24	49	121	107	120	204	275	159	242	196	316	298	223	115	182	202	194
known:2_8190	2	74935215	74935273	+	59	790	832	647	906	77	839	1370	994	1363	1346	1244	53	1861	1771	679	993	1238	1431	2118	1455	1294	1457	1800	1701
known:2_8365	2	81135692	81135755	+	64	215	242	250	263	4	363	241	390	569	725	578	6	453	432	198	327	334	494	402	293	457	562	411	414
known:2_8370	2	81162538	81162599	+	62	214	233	154	206	6	238	366	335	364	305	402	2	475	431	190	273	280	318	499	352	360	429	476	439
known:2_8562	2	92863518	92863577	+	60	1	1	1	4	0	5	0	2	10	10	7	0	10	14	2	5	7	8	6	11	7	17	19	13
novel:2_10462	2	93873105	93873162	-	58	0	0	0	0	0	0	0	3	1	1	2	0	1	2	0	0	0	0	0	0	3	4	1	0
novel:2_8613	2	95197391	95197458	+	68	0	0	0	0	0	0	0	8	16	0	3	0	0	0	0	1	0	1	2	0	1	6	0	1
novel:2_8659	2	102562011	102562081	+	71	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	0	0
novel:2_10621	2	104448912	104448992	-	81	9	19	24	22	8	22	3	4	7	16	6	8	20	25	12	15	12	21	20	10	1	4	9	8
novel:2_8742	2	105612171	105612243	+	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
known:2_10652	2	108588373	108588432	-	60	7827	8189	14929	13750	114	23693	16854	296	137	345	224	1	4185	4889	3126	4622	9808	12593	17214	13556	66	70	1744	1163
novel:3_10670	3	591484	591558	+	75	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
novel:3_10817	3	8383689	8383738	+	50	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
novel:3_10829	3	9255005	9255050	+	46	2	3	2	0	0	0	0	3	2	2	3	0	0	0	4	0	1	0	1	0	2	0	1	0
known:3_11129	3	29728344	29728397	+	54	5	8	24	19	0	7	10	4	7	4	14	0	10	7	3	2	12	20	19	8	5	4	11	11
known:3_11130	3	29728378	29728429	+	52	5	8	24	19	0	7	10	4	7	4	14	0	10	7	3	2	12	20	19	8	5	4	11	11
known:3_12353	3	30336775	30336821	-	47	5	10	9	15	1	10	16	14	39	13	26	0	12	19	7	15	17	13	7	7	15	30	14	16
known:3_12354	3	30336801	30336862	-	62	10	12	14	21	1	13	23	14	41	20	28	0	33	25	9	19	20	26	22	13	19	35	18	28
novel:3_12367	3	31716623	31716678	-	56	14	25	7	6	0	6	2	3	50	31	21	0	2	0	29	26	18	21	3	2	11	11	0	2
known:3_12730	3	47694965	47695025	-	61	302	324	4440	2900	28	9579	5516	84	118	217	114	0	335	382	154	252	1160	1803	8637	6437	119	169	226	232
novel:3_12751	3	48922060	48922116	-	57	2	4	2	4	0	7	5	1	5	9	3	0	8	8	5	4	1	2	5	6	7	1	4	10
known:3_11587	3	69182970	69183033	+	64	479	501	546	551	27	891	585	541	857	721	596	10	609	590	463	666	655	1009	825	561	549	728	512	521
known:3_11590	3	69184739	69184799	+	61	255	222	221	277	8	575	447	340	414	397	411	6	582	542	220	380	414	442	652	396	413	520	484	463
novel:3_13172	3	73957295	73957377	-	83	7	2	3	5	0	1	6	398	123	33	27	5	22	27	1	1	7	5	14	10	112	113	25	23
novel:3_11734	3	80375198	80375269	+	72	0	0	1	0	0	1	2	0	0	0	3	1	0	0	1	0	1	0	0	0	1	2	0	0
known:3_13463	3	91247875	91247934	-	60	42	55	26	32	0	36	42	64	86	49	57	3	39	48	38	54	72	57	60	31	59	70	32	32
known:3_13466	3	91251347	91251405	-	59	15	17	5	22	0	11	16	25	24	7	25	0	30	12	14	20	26	18	17	17	18	26	23	19
novel:4_13795	4	14881349	14881392	+	44	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
novel:4_15085	4	17676683	17676747	-	65	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
novel:4_15086	4	17676726	17676766	-	41	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
novel:4_13944	4	22489836	22489895	+	60	2	0	0	0	0	0	0	4	2	5	4	0	6	2	1	2	1	1	6	0	4	6	0	2
novel:4_14232	4	37728738	37728797	+	60	1	2	4	6	1	0	2	23	39	23	15	0	5	15	13	10	11	14	3	7	33	33	10	0
novel:4_15460	4	41048839	41048914	-	76	2	0	2	4	0	2	2	3	12	1	4	0	3	3	0	3	4	4	12	10	6	11	4	11
known:4_14332	4	43605854	43605914	+	61	4	3	7	9	0	26	3	0	0	0	0	0	0	0	3	0	9	6	19	7	0	1	1	0
known:4_15661	4	54721508	54721570	-	63	1	2	1	3	0	1	1	0	2	3	6	0	8	2	2	5	2	3	6	4	1	1	5	3
known:4_15805	4	65640712	65640775	-	64	1025	1076	1121	1373	13	1532	1956	2860	3928	2849	2621	19	2502	2607	960	1468	1784	2261	3263	2111	2119	2796	2540	2730
known:4_15814	4	65835083	65835142	-	60	172	148	115	209	1	667	434	187	205	186	288	0	449	379	132	233	312	273	634	377	385	436	497	465
novel:4_15836	4	68755031	68755105	-	75	0	0	0	0	0	0	1	21	11	0	0	2	0	1	0	2	1	0	0	0	7	13	0	1
novel:4_14782	4	70249695	70249757	+	63	75	49	55	37	44	118	21	4	7	16	15	5	16	24	44	62	34	65	22	26	7	13	17	15
novel:5_15931	5	4565855	4565916	+	62	22	11	34	44	2	137	109	15	21	54	42	0	131	181	12	17	55	62	138	119	33	38	135	112
novel:5_15944	5	4855028	4855084	+	57	0	0	3	0	0	13	2	0	2	2	0	0	1	4	0	1	0	3	5	5	1	1	3	5
novel:5_15951	5	4873425	4873482	+	58	0	0	1	0	1	0	0	0	3	2	8	1	0	0	0	2	1	4	0	0	6	0	3	2
novel:5_17482	5	6188628	6188676	-	49	1839	1842	1917	1690	3444	2095	1091	183	208	542	361	895	761	856	1650	2171	1828	2537	1534	1156	507	620	729	551
novel:5_16087	5	9959977	9960029	+	53	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	2	2	0	0
known:5_16238	5	15032365	15032424	+	60	407	439	341	906	2	1645	1633	263	255	499	846	0	1592	1153	264	446	732	652	2044	1230	850	1081	1294	1227
novel:5_16439	5	20858637	20858691	+	55	0	0	2	0	0	2	0	21	13	3	5	1	2	1	0	2	2	0	1	1	7	19	2	6
novel:5_17872	5	20974539	20974598	-	60	4	5	8	12	25	2	5	1	0	0	1	1	1	6	2	3	2	2	5	1	0	0	2	0
novel:5_16540	5	23149101	23149162	+	62	3	0	0	0	0	0	0	0	2	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0
novel:5_18184	5	31893706	31893750	-	45	0	0	0	2	0	1	0	28	9	1	7	0	1	4	0	0	1	1	0	1	8	12	0	1
novel:5_18682	5	52114829	52114908	-	80	1	0	1	2	0	0	0	34	11	3	2	0	1	3	0	0	1	0	5	1	13	14	6	3
novel:5_18787	5	54886586	54886626	-	41	6	1	1	2	0	2	4	1	2	2	3	0	1	1	1	2	1	1	2	1	3	4	5	2
known:5_18837	5	55616738	55616794	-	57	6	4	15	10	0	24	23	5	13	27	17	0	39	38	5	3	24	19	29	28	13	18	29	30
known:5_18838	5	55616773	55616822	-	50	6	4	15	9	0	5	18	6	11	20	11	0	29	30	3	3	18	16	24	19	10	16	24	23
known:6_18982	6	3215864	3215931	+	68	0	0	0	0	0	0	0	2	6	3	4	0	2	0	2	2	2	1	0	2	0	1	0	0
known:6_19004	6	4094588	4094648	+	61	9	19	6	17	0	12	19	21	25	11	20	0	26	28	16	24	31	23	38	23	15	36	30	33
known:6_20063	6	8365384	8365430	-	47	6	10	8	11	0	0	13	7	3	12	13	0	15	13	10	17	5	18	17	17	6	12	17	12
known:6_20064	6	8365408	8365469	-	62	6	10	8	11	0	0	13	7	3	12	13	0	15	13	10	17	5	18	17	17	6	12	17	12
novel:6_20278	6	19606061	19606101	-	41	4	1	1	8	18	1	3	9	10	3	1	16	3	2	3	5	6	6	2	9	4	7	7	10
novel:6_19624	6	29929607	29929673	+	67	0	1	1	1	0	4	1	4	3	3	2	1	5	2	0	0	0	0	1	1	1	5	2	2
novel:6_20501	6	30610132	30610195	-	64	1	1	0	1	0	1	0	31	14	3	7	0	3	7	0	0	1	2	0	1	15	8	2	9
known:6_20585	6	35267488	35267543	-	56	108	123	144	124	2	167	142	124	198	213	150	0	82	120	114	151	144	210	190	129	139	176	94	91
novel:6_20588	6	35269710	35269765	-	56	8	11	9	13	0	11	14	22	17	23	13	0	7	7	17	28	15	40	13	10	20	33	12	8
known:6_20659	6	39445224	39445285	-	62	18	16	6	28	0	52	36	11	12	22	27	0	36	31	12	13	14	19	60	32	22	39	27	44
known:6_19865	6	44167836	44167893	+	58	234	231	217	263	3	231	364	203	255	237	256	1	373	317	174	252	296	366	566	361	264	331	354	334
novel:7_22056	7	661443	661496	-	54	0	0	0	0	0	3	3	1	2	3	1	0	3	1	0	1	1	1	1	5	2	0	7	0
known:7_21008	7	5989657	5989715	+	59	54	59	42	82	0	5	28	151	246	184	190	2	103	70	85	97	77	74	46	34	140	217	63	46
novel:7_22350	7	12055175	12055231	-	57	10	15	28	25	2	49	23	14	30	79	51	4	49	49	16	21	33	49	54	27	49	41	64	47
known:7_22453	7	15768371	15768428	-	58	4	7	5	8	0	1	3	1	10	34	19	0	2	10	12	16	41	33	25	25	17	35	25	26
known:7_22454	7	15768407	15768494	-	88	4	7	4	8	0	1	3	0	9	29	19	0	1	10	10	14	40	33	22	24	15	32	24	25
known:7_22504	7	17661314	17661373	-	60	209	276	115	155	2	200	151	317	421	351	360	2	337	321	200	296	233	224	206	142	297	375	308	258
novel:7_22526	7	18301944	18302004	-	61	9	0	15	12	1	32	13	20	19	31	19	0	23	10	3	7	17	27	15	8	27	24	14	19
novel:7_22622	7	22465830	22465910	-	81	0	0	3	0	0	2	0	21	0	1	4	0	5	5	0	0	0	0	3	2	12	12	4	6
novel:7_22663	7	22492931	22492990	-	60	57	69	49	62	15	134	87	541	191	161	162	50	312	279	62	88	104	112	172	166	454	506	304	313
known:7_21961	7	34144902	34144957	+	56	199	203	179	245	5	209	376	209	294	212	254	1	401	356	177	225	270	327	535	387	275	356	328	336
novel:8_23827	8	5251078	5251142	-	65	1	0	0	4	0	0	1	10	11	2	4	0	1	0	3	5	0	1	7	2	6	7	6	4
novel:8_23877	8	8584878	8584963	-	86	0	1	0	0	0	1	0	2	0	0	2	0	0	0	0	0	1	0	0	0	0	1	1	0
known:8_24156	8	18806911	18806969	-	59	50	34	22	55	0	123	100	46	53	67	101	1	112	76	46	47	69	56	127	66	77	117	101	121
known:8_23454	8	22494140	22494199	+	60	1037	1206	1364	1226	13	916	1217	2370	2380	3341	2375	8	4614	5165	1013	1409	1381	2029	1875	1195	2064	2916	3283	3155
novel:8_24340	8	28418094	28418154	-	61	5	3	17	12	0	101	36	0	0	0	0	0	12	18	0	1	8	4	54	37	1	1	8	2
known:9_24500	9	378836	378891	+	56	13	8	8	16	0	9	4	31	42	19	39	0	12	12	4	24	26	35	13	3	29	41	15	17
novel:9_24578	9	1207564	1207605	+	42	0	1	1	0	1	6	0	1	0	0	0	2	0	1	1	1	0	0	1	3	0	0	0	0
known:9_25110	9	3990546	3990609	-	64	550	587	282	633	1	508	754	976	1258	912	1547	10	1726	1201	617	882	989	846	1188	743	1782	2240	1912	1907
known:9_25111	9	3990685	3990746	-	62	61	74	43	52	8	154	58	221	395	312	217	37	92	90	57	89	84	116	87	64	191	270	136	147
known:9_25114	9	3990845	3990903	-	59	452	456	281	622	2	675	591	946	1127	814	1478	7	1610	1135	554	795	716	677	1094	713	1351	1801	1540	1557
known:9_25115	9	3990983	3991040	-	58	1144	1191	578	1406	1	964	1618	1665	1937	1540	3253	4	3551	2561	1237	1798	2040	1712	2685	1481	3513	4148	4124	4087
known:9_25118	9	3991171	3991231	-	61	65	72	45	77	0	34	55	258	221	225	157	19	122	108	68	73	88	93	77	47	188	175	158	135
known:9_25119	9	3991304	3991360	-	57	104	88	27	110	0	56	143	151	106	107	204	0	262	181	72	126	106	126	178	86	241	296	271	216
known:9_25123	9	4069234	4069290	-	57	14	12	8	13	0	17	20	34	36	22	30	2	49	33	8	23	32	17	33	16	38	42	47	27
novel:9_25134	9	4262900	4262938	-	39	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	2	0	2	0	0
novel:9_24822	9	16246879	16246938	+	60	0	1	0	1	0	1	3	27	4	1	4	0	1	1	0	0	0	2	0	2	5	10	1	2
novel:9_24868	9	16534656	16534720	+	65	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
novel:9_25370	9	17266471	17266546	-	76	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
known:10_26265	10	8247970	8248028	-	59	136	145	109	199	1	282	305	77	59	56	62	2	137	109	110	163	220	222	431	301	109	128	74	77
known:10_26267	10	8248151	8248212	-	62	153	134	92	281	1	407	402	92	91	96	86	1	124	143	93	139	221	191	415	301	109	125	143	104
known:10_26346	10	10978700	10978758	-	59	535	652	784	752	42	2777	1495	650	1031	776	542	17	667	803	423	631	761	1129	1483	1119	490	566	570	582
known:10_25657	10	10978701	10978758	+	58	54	64	38	65	1	265	116	74	68	60	89	0	145	128	49	78	67	78	165	112	64	86	129	113
known:10_26347	10	10984524	10984583	-	60	952	917	734	1272	7	1752	2017	886	1257	957	1283	4	1356	1276	774	1094	1283	1278	2440	1467	1107	1323	1247	1182
novel:10_25692	10	11098977	11099031	+	55	1	0	1	4	0	0	0	85	20	13	2	3	6	3	0	1	1	1	0	1	19	17	4	3
novel:10_25711	10	11638406	11638466	+	61	0	0	0	0	1	0	0	2	0	1	0	0	0	0	0	0	0	0	1	0	2	2	1	2
novel:10_26446	10	13847724	13847781	-	58	0	4	1	3	0	6	1	0	7	4	0	0	7	9	3	0	0	0	3	1	0	0	1	6
known:10_26467	10	13875840	13875901	-	62	1	4	2	4	0	14	6	0	0	1	5	0	2	7	0	0	1	0	5	0	0	2	2	5
novel:10_25885	10	18358903	18358988	+	86	0	0	0	0	0	2	5	2	0	1	0	0	2	0	0	4	0	3	9	1	2	0	2	0
novel:10_26581	10	18610333	18610405	-	73	0	2	0	3	1	2	0	6	8	0	3	0	0	3	0	2	0	1	3	0	3	7	2	1
known:10_26602	10	19032180	19032234	-	55	55	72	40	92	1	181	73	45	99	75	142	0	178	127	64	58	70	76	123	77	128	160	159	171
known:11_28053	11	21890333	21890393	-	61	279	346	237	347	4	316	565	546	577	540	564	19	897	932	370	431	437	552	853	503	669	853	805	877
known:11_28054	11	21890373	21890450	-	78	251	310	196	319	1	260	508	469	476	388	484	0	722	730	333	352	388	502	749	426	578	737	668	726
known:11_28055	11	21890502	21890560	-	59	133	145	108	108	1	109	158	271	383	417	324	3	301	288	144	208	154	219	246	148	280	356	309	297
novel:11_27405	11	22600277	22600332	+	56	0	0	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	2	4	0	2
novel:11_27410	11	22769107	22769153	+	47	0	0	0	0	0	0	0	3	0	0	0	1	0	0	1	0	0	0	0	1	2	0	0	0
novel:12_28652	12	1704547	1704622	-	76	0	0	0	0	0	0	0	27	17	5	7	0	0	2	0	0	0	0	0	0	15	15	7	2
novel:12_28262	12	5634902	5634972	+	71	2	5	3	2	0	7	1	5	3	5	1	0	0	2	3	7	3	2	0	0	2	4	1	1
